,label,cleaned_text,tweet_length
6404,positive,thank you for your help resolving my problem shannon rocks even though rhonda didnt,83
6405,positive,thanks we will see what happens,31
6406,negative,i appreciate that and not to be rude but it doesnt solve much you should at least cover the cost of stolen goods,112
6407,neutral,can u better define the plus one smaller type item on carry on requirements small backpacks,91
6408,negative,youre on blowing it with your customer service shotwest airlines,64
6409,positive,glad it was finally resolved too too bad i cant get a free voucher to go with mine so i can have a friend travel next time,122
6410,negative,she made it standby after her flight was cancelled flighted for no reason almost hrs late flight conffvfyw swrr,111
6411,neutral,im flight booking problems a flight to vegas any good promo codes,65
6412,negative,very frustrated with your customer serviceopen seats on earlier flight to change what a rip off,95
6413,positive,all good now going to make it to boston on time im actually on your wifi right now,82
6414,negative,you are over please start acting your age and stop with the shortshorts,71
6415,positive,thanks for your assistanceyou guys rock,39
6416,negative,no self help way to put in tsa pre check number for existing reservation very annoying is not reachable,103
6417,negative,why wont you let me leave newark,32
6418,positive,hey yea i got thrueverything is good now well in days when the voucher goes through appreciate it,97
6419,negative,i was in nashville and i had to drive and a half hours to memphis but i made it as the plane was loading,104
6420,negative,according to tv passenger interviews the landing was far from uneventful with heavy panic breaking to,101
6421,neutral,can you outline the policies for both scenarios,47
6422,neutral,who should i contact about a missing rapid rewards credit,57
6423,negative,what are the chances you will be cancelled flighting all flights in and out of nashville again,94
6424,neutral,welcome to portland sun mt hood and southwest,45
6425,negative,why are you the only airlines to cancelled flight all flights into bna been stranded in philly for days hoping to get out in the am,131
6426,negative,not very helpful trying to get out of nashvilleshould waive change fee for,74
6427,neutral,still havent been able to get through thanks for responding,59
6428,negative,thanks but they told him he couldnt a few hours ago then my plane left after i tried to do it stuck waiting for hours now,121
6429,neutral,has the winner for destinationdragons been announced yet if not when will they be,81
6430,positive,on my flight today from rsw to grr i was able to snag a free sw agent to check for me it looks like we are finally all set,122
6431,positive,yeah we figured it out thanks,29
6432,positive,thanks for the drink tickets hook up cant wait for my first international flight with you to nas pumped,103
6433,negative,took our carryon bag with essential attire for a life changing interview tomorrow its not here can we expect compensation,121
6434,neutral,i got rebooked for tomorrow,27
6435,positive,hi i just saw a black history month commercial on tv im excited in support of this monthwill you all grant me free trip,119
6436,negative,took our bos to bwi plane for a flight to stl and promised a replacement hours late flightr now hours delayed not happy,119
6437,positive,though i work for another major airline i love your black history month commercial i thank you,94
6438,negative,no we were in a large group majority of the bags were soaked,60
6439,positive,black history commercial is really sweet well done,50
6440,negative,even with the voucher for picking up my bag,43
6441,negative,there from my first interaction with your people this morning after bad weather sorry but i wont be flying with you again,121
6442,negative,yeah they told me it would be on the next flight i drove down and it wasnt i just drove down for a second time and they were,124
6443,positive,much respect,12
6444,negative,its not letting me dm you,25
6445,neutral,when are we gonna know i have a math test tomoro and i cant concentrate destinationdragons,90
6446,positive,thank you thankful feelingtheluv,32
6447,negative,im just praying you get me home alive,37
6448,negative,i hope youre happy you have officially become the next profitbeforepeople imo you will be bankrupt by,101
6449,negative,whats up with these delays throw some priority boarding my way ill forgive you southwest southwestairlines,106
6450,positive,i got it added thank you,24
6451,positive,great thank you best of luck dealing with this horrible winter,62
6452,positive,thank you,9
6453,negative,needed my flight info so i can add my rapid rewards to my flight first time i have flown with sw wont do it again mad,117
6454,negative,i keep getting disconnected after choosing the option unused travel funds on your automated customer service line sos,117
6455,neutral,flight nsw departs enroute to indianapolis international airport,64
6456,negative,being old i will miss my connection and can sleep at oak or get a hotel on my own dime rubs me the wrong way i wasnt late flight,128
6457,negative,not your finest moment in boston right now,42
6458,negative,my bags are st woman said it would be there on the next flight not there so now ive got nothing big wigs help me out,116
6459,neutral,can i use points to book a rental car,37
6460,negative,no thanks i think we have it straight,37
6461,positive,thanks for taking care of me today michele rocked the customer service gate hou,79
6462,negative,paid for my own rental car just to not go through this for the rd day,69
6463,positive,i did thank you,15
6464,negative,thanks i expected a wait just not that long,43
6465,negative,understand weather is an issue but on time cancelled flighted reinstated cancelled flighted with hardly any updates and doing nothing for me,140
6466,positive,despite mother natures best efforts s goodhumored folks got us home safely in an area heavily affected by winter storms,119
6467,negative,sadly didnt get much help as a travel agent this is so disappointing to me,74
6468,negative,bos to msp msp to aus aus to bos site doesnt seem to display fields for the middle trip when i add the rd,105
6469,negative,me not to be able to rebook another flight drove to atl to catch a flight was charged just to get the a group i had,115
6470,negative,has the worst customer service on earth will never fly that airline again,73
6471,negative,flight yesterday cancelled flighted got to airport am today for an on time flight w was delayed cancelled flighted than reinstated which caused,143
6472,negative,flight nd departs enroute to,28
6473,neutral,how are flights looking for tomorrow morning from nashville bna to fort lauderdale fll,86
6474,positive,awesome thanks,14
6475,negative,im in same boat am flight to jacksonville get me out of here,60
6476,negative,im concerned that you will cancelled flight my flight out of bna tomorrow am should i be,88
6477,neutral,think flight from bna to lax will get off the ground tomorrow please snowbama,77
6478,positive,really appreciate the follow up i always fly with yall for a reason,67
6479,positive,all pieces were found and safely delivered to our home this afternoon,69
6480,negative,stop ur bs promos of anywhere starting at i click and everywhere id fly the only place thats is cle nothanks,108
6481,neutral,i have been in contact and know there are changes but its a destination you should really evaluate thanks,105
6482,negative,i know one thing would never treat their customers like this,60
6483,negative,why are yall trying to fly me to chicago when i dont live there send me home now bullshit ass customer service,110
6484,negative,flights cancelled flightled in one week customer service is,59
6485,negative,i have had flights cancelled flightled through yall im sick of it,65
6486,negative,very poor customer service thru out each of my cxl flights i shouldve flew,74
6487,negative,whats yall corporate number bc yall are not trying to accommodate me at all,75
6488,positive,el paso dealsmay,16
6489,negative,cant checkin online for flight tmrw fr cancun undefined error not workingfamily of dont want cgroup help,104
6490,negative,does anyone ever answer your phone poor,39
6491,negative,we are mins from departure of and no announced update nor an update to on time status everyone just standing comeon,115
6492,negative,can i get any kind of update on the delayed flight from boston to houston at really need to be back home tonight,112
6493,negative,how long did you have to hold we waited minutes and gave up,59
6494,neutral,i know it is hard to predict but how are flights from dallas to nashville tomorrow am,85
6495,negative,any plans to make the southwest app for android not crappy,58
6496,positive,thanks ill keep checking im trying to book our first disney world vacation,74
6497,negative,thanks for taking such good care of my luggage,46
6498,negative,yeah all are rebooked for tomorrow am hoping the rd time is a charm for no cancelled flightled flights,102
6499,positive,thank you i know yall cant control the weather i appreciate yall working to get my flight rebooked the last two days,116
6500,neutral,iiiii need help with my flight schedule haha,44
6501,negative,can you make a premium wifi that i can pay for that is decent slowfi,68
6502,positive,about timeand just in time for my next flight thursday,54
6503,negative,extremely disappointed with poor the customer service provided after cancelled flighting my flight today unprofessional,119
6504,negative,i was helped by a nice lady at phx checkin i spent hours on hold in hours so might want to look at efficiency there,115
6505,negative,i told myself last time i would never fly you again i really messed up today thanks flight worst airline ever,109
6506,negative,done messed up now i have planned a trip to costarica for pennies vacatime,74
6507,negative,not as sorry as i was when i sat on a plane for hours waiting for the engine to be fixed and then got my luggage lost but k,123
6508,neutral,on flight tomorrow wed denbna will we be delayed or cancelled flightled,71
6509,negative,i did but it only shows one flight one way when i try to go to the home page and book roundtrip theres nothing available,120
6510,neutral,were flying out tomorrow please dont cancelled flight lol,57
6511,positive,no worries at all i would rather be safe on the ground than take any chances yes tomorrow am if bna reopens,107
6512,negative,i do need help cancelled flighting my flight back your calls times are ridiculous,81
6513,positive,fattuesday great job celebrating mardigras today at atlanta airport another reason im nuts for you,98
6514,negative,your customer service is terrible youre terrible thought you should know,72
6515,neutral,when will the winners of destinationdragons be announced,56
6516,positive,awwweesssooomee,15
6517,negative,my pts expired i made a prchase an online retailer to b told by sw that those wont show for wks so too l keepmy pts,115
6518,neutral,you guys must have been swamped even took our corporate travel a long time to get in but everything worked out in the end,121
6519,neutral,tremendous job atlanta airport saw sw celebrate mardi gras another reason im nuts for you guys,94
6520,negative,you officially have the worst customer service of any airline ive ever dealt with southwestairlines poor,104
6521,neutral,think you need to follow me for a dm,36
6522,negative,fastest response all day hour on the phone never got off hold hour in line never got to the flight booking problems desk,120
6523,negative,had to rebook through atlanta now drive to nashville had to pay ridiculous price difference bad weather good for business,121
6524,neutral,when do you all expect to open the reservation through november,63
6525,positive,amazing customer service as well will definitely fly with you guys again if my instrument is involved,101
6526,neutral,when are you going to be flying in and out of nashville the deicer is in are you short on planes and is it tomorrow morning,123
6527,positive,your social media team just said sorry thankfully submitting a complaint got resolution from an amazing rep who called,118
6528,neutral,im scheduled to come back tomorrow finally but i dont know swa hasnt flown out of yet but has,93
6529,negative,flight cancelled flightled my wife is stuck in phoenix on the way from slc to san thanks a lot southwest,104
6530,negative,i never got a cancelled flightlation text from this morning either bushleague or a number to call weakservice,109
6531,positive,knows whats up that blackhistorymonth commercial just another thing to add to reasons why i fly with southwestairlines,118
6532,negative,too late flight now,19
6533,neutral,can u get me on flt instead of rt now,37
6534,negative,no but seriously wtf nochill,28
6535,negative,yes but they couldnt explain the hour and minute hold time,58
6536,negative,mcodca flight almost full of people screwed by the msydca cancelled flightation and didnt cancelled flight swamistake,117
6537,neutral,can i take my electric skateboard on a domestic flight if so do same policies listed on your site for regular boards apply,122
6538,neutral,what is dm,10
6539,positive,your employees were great,25
6540,neutral,confirmation number for new reservation is fpmy i am traveling with a year old please email jennifercascinocom,110
6541,negative,why no charging station in san,30
6542,positive,thanks for the reply something is off with the phones becuz after dropped calls at hours on hold i got through on ring,118
6543,positive,thank you for the vouchers after the long wait on the runway saturday night at bwi i really appreciate it swfan,111
6544,neutral,you need this song for your next commercial swa love,52
6545,positive,jh thank you i finally got through the second time,50
6546,negative,i need to fly from gsp to dsm but claims theres no sched avail i can book separately but why not together,105
6547,negative,thank you hung up after hr min on hold would you like me to dm you contact info,79
6548,negative,your checkin system is poor,27
6549,positive,haha thanks for the explanation,31
6550,neutral,employees spreading a bit of mardigras cheer at this morning in atlanta nftyconvention,86
6551,negative,having some trouble checking in can you please add me so i can dm you,69
6552,negative,wifi on yesterdays flight extremely slow a waste of and lost the travel time for work,85
6553,negative,my flight was cancelled flightled monday just looking to cancelled flight and credit my card thats all,102
6554,negative,still on the ground mins after planned departure and this is california no weather here originally told min delay,113
6555,neutral,i understand wonderful miriam in customer service who was able to reroute me got any rental car discounts,105
6556,negative,not yet supposed to get it early evening tonight dont want to have to go to the store and buy new necessities,109
6557,negative,how it is not possible to call swa on the phone you put me on hold for an hour and then cut me off,98
6558,positive,been with my gf for yrs shes from sf i live in tulsa swa always takes me there to see my love southwestluvsweeps,112
6559,neutral,hi there i just got my known traveler and would like to add it to a flight that i already purchased whats my best option,120
6560,negative,nashville airport has runways open it appears southwest is only airline cancelled flighting flights is this likely to change,124
6561,negative,been on the phone for about an hour waitingcan you please answer thank you notcool,82
6562,neutral,just get the rr credit card and get the points of family that way,65
6563,positive,sent thanks vp,14
6564,neutral,what does tsa pre on my boarding pass mean,42
6565,negative,shes still stranded in dc sat until am with other kids they were starving and exhausted,87
6566,negative,flight pilot spilled his tea on the radio yay for delays almost an hour now,75
6567,negative,i just sent it over,19
6568,neutral,hahayeah i did just making a joke,33
6569,positive,thank you so much for stepping up your game and making my day after night of elevator music much appreciated,108
6570,negative,used to love you but you keep rescheduling my flights southworst,64
6571,negative,where do we start ive already wasted hrs of phone wait time already,67
6572,positive,just talking to customer service makes me appreciate you even more they could learn so much from you,100
6573,negative,my brother his girlfriends flight cancelled flightled times now leaving hours late flight and dropping letter grades at school help,131
6574,neutral,thank you the email about rr pts how to gain more wasnt clear so all of mine r gone anything u can do is appreciated,116
6575,positive,thanks for the response was able to get my situation resolved not a fan of mother nature today,94
6576,neutral,is there any way to add a known traveler number to an existing reservation online if not why not,96
6577,neutral,needs to offer a college student discount so i can fly home,59
6578,negative,you cancelled flightled my flight to bna i have flight from bna mdw tomorrow am you stranded me in den ive been on hold all day,127
6579,positive,thanks i think weve got it figured out,38
6580,neutral,from lga to san diego,21
6581,negative,missing out on over points in one account theyre now spread over four assuming i create accounts for them,105
6582,negative,right but the point was that my kids dont fly often but i do i bought four round trip tickets from dtw to phx so im,115
6583,positive,i got a flight at am on thursday but looking for something tomorrow anything available,86
6584,neutral,we desparately need yall to make a nonstop bna tul cmon itll be popular right,77
6585,neutral,thank you for the response how can i got about getting the points onto my rewards account,89
6586,neutral,tried to dm you it wont let me as it says you are not following me,66
6587,neutral,chances of flight leaving bna tomorrow at am to lga,51
6588,positive,got it squared away thank you i had a man on the inside help me out,67
6589,negative,please pm me the number where i can lodge formal complaints thx,63
6590,neutral,just sent you a dm with the details,35
6591,negative,good thing we noticed because she had rerouted total passengers on an impossible triple connection as well,106
6592,negative,your gate agent rerouted an impossible itinerary and we had to find a new airline to get us home super bummed about this,120
6593,negative,do you do auto callbacks so i dont have to wait on hold,55
6594,negative,received email wresos to my email that isnt associated to swa account i own with cc info for my sister fraud please dm me,121
6595,neutral,just did thank you,18
6596,negative,your onboard wifi is so bad its taking me minutes to send this tweet working is off the table disappointed,106
6597,positive,another great flight crew las vegaschicago thanks,49
6598,negative,i recommend upgrading your ivr and using call back email and texting from a know caller,87
6599,negative,an entire flight of luggage missing at dca over an hour and nobody knows anything,81
6600,negative,you get to hold called twice only to be kicked offcalls phonedied alistpreferred,80
6601,negative,why are you the only airline that is not flying out of bna today,64
6602,positive,finally got through thanks,26
6603,negative,i have spent minutes and counting on hold w you today after first minutes i gave up trying again on rd min,106
6604,negative,ive had on an airline everyone else has been great but she soured the whole experience for me hope shes not there next time,123
6605,positive,thanks got put on the am flight tomorrow dont have much faith itll get off the ground tomorrow though,101
6606,negative,i think im shot cant find a flight that arrives before business san on thu really want to go too,96
6607,negative,the woman working the counter in philly at this am needs to be fired due to bad weather i along with other passengers,117
6608,negative,was earlier for reflight booking problems flight im on now didnt get a screencap just said unspecified error and to call swa,124
6609,negative,buying early bird was pointless you moved me to a diff flight bc first one was delayed so i lost my boarding position,117
6610,negative,is there a problem with the website i tried making changes w the app and the site but got unspecified errors,108
6611,positive,i love southwest and payton taylor,34
6612,neutral,rdu flights expected to be ok this afternoon and tonight,56
6613,negative,super disappointed today first time weve had to stress and now book a flight on another airline while at the airport,116
6614,negative,they put me on the next flight available tomorrow morning any idea if bna will be open in the morning for my flight,115
6615,negative,hey swair a very tortured boarding on flight due to one gate agent having to board assisted folks one at a time,111
6616,negative,i understand a delay but to be stuck on the plane longer than the flight is unacceptable,88
6617,neutral,i absolutely will where can i send it,37
6618,positive,no worries youre doing the best u can already cancelled flighted my biz trip still luv you rr,93
6619,negative,in my years of flying i have never been so pissed off to many incidents for just one flight,91
6620,negative,heard apology times in the mins i was on hold now flying from another airport at a different time but delayed again,115
6621,neutral,happily but you need to follow me in order for me to dm you,59
6622,negative,i willmake sure to tell everyone i know about this all around horrible experience i will also post it on my business page,121
6623,negative,and currently as im bringing my year old to the bathroom im being rushed by the flight attendant,96
6624,positive,no worries we got thru eventually i was just curious best of luck to you dealing with the weather,97
6625,negative,not terribly inspired to call customer service in the future now,64
6626,negative,also they said they couldnt even book the flight they were having to put me on hold have someone else do it,107
6627,negative,the person i talked to couldnt do anything not normally available online other than the no charge part,102
6628,negative,can someone help me set up a callback today,43
6629,negative,how about when there are cancelled flightlations you just have a link to rebook like you did for initial storm issues,117
6630,negative,there really should not be guidance to call via phone if you are that back logged i could have done it online in minutes,120
6631,negative,no had to rebook my flight myself and am about to board in bham,63
6632,negative,please send me a number to call to talk to a person and not be put on hold,74
6633,negative,flt from buf to mco conffgkxv please also look into reimburse for car count that i had to cancelled flight,106
6634,negative,almost hours on hold now i just need to cancelled flight a flight and get a refund other airlines are operating,111
6635,negative,you need to be more accommodating to your loyal customers not happy now,71
6636,positive,yes thank you oct oct,21
6637,negative,i did eventually get through but that flight cancelled flightled decided to drive but gave up holding to process refund,119
6638,neutral,already rebooked for tomorrow fingers crossed,45
6639,neutral,followed,8
6640,negative,worst customer service terrible attitudes i dont care how big a storm your employees need an attitude adjustment,112
6641,neutral,or you could send me a dm,25
6642,neutral,i am following you now i dont think i can dm until you follow me,64
6643,negative,flight cancelled flightled out of bna do i have to reschedule now or can travel funds be put back into my account for future use,128
6644,negative,are you kidding me i needed help yesterday im now landed and waiting for my connection never will i fly southwest again,119
6645,negative,can i have my bags back ding,28
6646,negative,yeah bruh its bool yall niggaz just need to hire some more workers or something cause next time imma be forced ta disrespect,124
6647,positive,always when i fly sw loyalrrmember,34
6648,positive,thank you someone finally answered and was able to change my flight that was cancelled flighted bc of ice thank you for response,128
6649,negative,trying to add my dog on the flight but cant get through,55
6650,negative,i need to request a refund on my flight that was cancelled flightled this morning due to the weather,100
6651,positive,thanks a ton,12
6652,positive,luv ya too i will sing a song for yall when i finally get on that plane back to nashville lovesouthwestair,106
6653,neutral,hi thanks do you have an exact link to that specific page on your site you can share or is it under flight status thx,117
6654,neutral,no exceptions for national awards,33
6655,neutral,any idea on flights to nashville tomorrow being clear or cancelled flightled,76
6656,positive,is having a sale im delighted,29
6657,positive,about time thank you,20
6658,positive,finally integration w passbook is a great valentine gift better then chocolate flight you do heart me,101
6659,neutral,finally,7
6660,positive,you guys are awesome dontchangeathing luv,41
6661,positive,karen with customer service was very helpful thank you for providing one bright spot in a frustrating situation,111
6662,negative,twitter says i cant dm someone unless they follow me can follows my twitter thanks you,86
6663,negative,thank you twitter says i cant dm someone unless they follow me can follows my twitter,85
6664,neutral,the is sold out too,19
6665,neutral,myself and others,17
6666,negative,can you follow me flight cancelled flightled cant rebook online been on hold for hours would love to dm flight info thank you,125
6667,negative,i also find it ridiculous that ive been tweeting to you since am est and have still received no response hours,110
6668,negative,thanks yes i got through biggest frustration is that im no longer able to check in online for my flight after cancelled flights,127
6669,negative,why are flights still getting out of logan now you couldnt manage to get one out at am when it wasnt snowing,108
6670,negative,mins wait on the phone with no option for a callback finally had to hang up because my phone was dying customerservice,118
6671,neutral,landing early morning after snowfall,36
6672,positive,and thanks,10
6673,neutral,sure fhkte am scheduled to leave this weekend but need to push to october,73
6674,positive,its all good flight eventually took off and landed safely oh and i got the free cup o wine thx,94
6675,neutral,i noticed the rates increased a few days ago or the promotion ended any idea when another promotion will be coming thanks,121
6676,negative,no flights out of nashville today are you kidding me why are other airlines flying and youre not so frustrated,110
6677,neutral,i am but it says yall are sold out me my coworkers would need to get out first available,88
6678,negative,im trying to change a family vacation due to measles outbreak and havent been able to get anyone on the phone any help,118
6679,neutral,frzz,4
6680,positive,youve got a mess here at dtw but your staff is doing great,58
6681,negative,flying to lga in the dead of winter jvstatus ewr jfk is always the intelligent option,85
6682,positive,great job with the passbook integration itll really help streamline the commute to san fran,91
6683,negative,i need to reschedule a flight and ive been on hold for almost an hour this is ridiculous is there a best number to call,119
6684,negative,condescension must be a quality your co rewards your tone reeks of it,69
6685,positive,great job looking forward to my next trip being able to use this new feature,76
6686,neutral,any update on flights in to bna today,37
6687,neutral,damn weather messing up everything serenitynow,46
6688,neutral,could you tell me if any upgrades are available on a flight out of stl tomorrow morning,87
6689,negative,disappointed with customer service right now my flight was only one cancelled flightled at my airport now im losing days from trip,130
6690,negative,been on hold for over an hournot cool you guys,46
6691,negative,ive been on hold for an hour a half trying to change my flight to bna not very happy with customer service right now,116
6692,neutral,got it thanks any insight into what will happen tomorrow,56
6693,neutral,any chance of adding laxjfk direct any time in the future,57
6694,negative,thank you i was given this same reply years ago can you direct me to an area i can learn more about the improvements,116
6695,negative,just disconnected my call after hours without even speaking to me octaviannightmare,83
6696,negative,injured at check in yesterday u told me to go to dr on hold with swa for over hour trying to talk with someone suggestions,122
6697,negative,trying to get through by phone to confirm that funds from a cancelled flightled reservation can still be used in the future can u help,134
6698,negative,have you considered adding the well call you back when we have someone free feature to your support line,104
6699,negative,ive been on hold with customer service for over an hour can you help,68
6700,negative,ive been on hold for an hour now as i type this ridiculous all i need is the link to the chart that has routes time,115
6701,neutral,sent,4
6702,negative,flight cancelled flightled reflight booking problems online has not worked on my second round of hold hrs now any other options,127
6703,negative,kudos to the rsw cs crew for rerouting pax to alleviate over sale due to down graded eqp now,92
6704,neutral,trying to fly out of nashville tomorrow how is it looking,57
6705,neutral,do you think the flights out of nashville will be cancelled flighted tomorrow,77
6706,negative,do you not try to get customers to their destinations no help to get on another airline if you had no flights for days,118
6707,negative,im an alist preferred customer and very loyal swa however your inflight wifi is no better today than it was years ago,117
6708,positive,thank you,9
6709,negative,too bad im getting this memo your reservation contains modifications that prevent you from changing it online fusturated,120
6710,negative,almost hours on hold hours of my life i cant get back thanks,60
6711,negative,discount for three delays,25
6712,negative,tried online and told i must call bc of modifications to my reservation been on hold for almost hours,101
6713,positive,outstanding customer service thank you,38
6714,positive,finally,7
6715,neutral,trying to get through to cust relations is there another to use,63
6716,neutral,where should i fly by may rd plz advise,39
6717,negative,has the worst customer service of any airline ive ever flown,60
6718,negative,i need updates on my flights i have been on hold for over hours,63
6719,negative,himy flight bna to lga was cancelled flighted this morning looks like other flights out of bna are taking off any chance,120
6720,neutral,can you link the article where it says the routes and what times the routes are likely to be like tuldal pm none,112
6721,neutral,southwest mobile boarding passes now available in ios passbook,62
6722,negative,cancelled flightled my flight out of bna today been on hold for an hour frustrated,82
6723,positive,beautiful thanks a ton,22
6724,negative,tried to rebook online but it says that i have to pay for difference in price please help,89
6725,negative,im showing flight delayed again would my boarding pass still be good or was my seat given away,94
6726,negative,cant update my flight online bc its been cancelled flighted twice already going on hour on hold,95
6727,negative,guys for real ive been on hold for hours including one hangup please have someone reach out so i can get my back,112
6728,neutral,kind of early but any idea when dates through the first week of sept will come available,88
6729,negative,the last times ive arrived our gate has been blocked by a slow to depart plane leading to min delays,100
6730,negative,been on hold for minutes about my cancelled flightled flight still not talked to anyone and flight is soon what gives,117
6731,negative,hoping you answer the phone today,33
6732,negative,husband on hold hrs got disconnectednew wait min cant confirm res due to the fact he booked on line nuts,104
6733,positive,thanks do yall expect to be operational tomorrow out of nashville,65
6734,negative,why have you guys jacked up the prices after you said prices were going to be lowered smh,89
6735,negative,on hold for hours and then you hung up cancelled flightled flights running out of daycare for our kids who are trapped at home,126
6736,negative,this is really unhelpful why cant i rebook online,49
6737,negative,allows other passengers harass u after their gate agents mistakefurious they are doing nothing about it my yo was scared,120
6738,negative,flight was cancelled flightled and it wont let me rebook online wait time on phone is too long please help,106
6739,neutral,guys weve got to do something about the inability to check in online for international flight that has,102
6740,neutral,is it a temporary site glitch or are you no longer offering flights from grr to geg after feb cant find any online,114
6741,negative,wont answer their phones horribleservice neveragain frustrated answerthephone,77
6742,negative,we have been stuck in sju for several hours and no one is answering here really tough to luv sw no response is bad,114
6743,positive,nice work on the update,23
6744,negative,you guys there are we on hour of our phone hold at am bc of volume or short staffing,84
6745,negative,its cool that my bags take a bit longer dont give me baggage blue ballsturn the carousel on tell me its coming then not,119
6746,positive,yesterday on my way from ewr to fll just after takeoff wheelsup jetbluesofly,76
6747,neutral,i hope so because i fly very often and would hate to change airlines,68
6748,neutral,flight to savannah ga,21
6749,negative,they werent on any flight they just came late flight your jetblue employee just informed us,91
6750,negative,everyone is here but our pilots are no where to be found and my last flight the plane was dirty that i had to clean my area seat,128
6751,neutral,update on flight would be appreciated when you have time thanks,63
6752,neutral,check dm please,15
6753,negative,hey guys why did my last flight earn me pts,43
6754,negative,aisles of empty evermoreroom seats and we cant move bc we didnt pay nonsense waste jetblue jetbluebos cheap,107
6755,negative,s marty st george really has zero clue how does he still have a job nobaggagefees,81
6756,negative,they booked me for tomorrow its higher my st reservation is pgfryz get me on standby list tonight would help,108
6757,neutral,submitted hoping for quick decision tied to another donation we just received proposal th annual gala org boundless readers,123
6758,negative,but by cancelled flighting my flight and pushing me to the next day id lose hotel which was why i was trying to get a sameday flight,132
6759,positive,thank you for the information,29
6760,neutral,did you know that suicide is the second leading cause of death among teens,74
6761,neutral,ok and in dominican republic what numbers,41
6762,negative,ive tried on my phone and laptop,32
6763,negative,cancelled flighted my flight went with another airline leave day they cancelled flighted also called jetblue got same flight but now more,137
6764,neutral,sale please soon i need a tan,29
6765,neutral,yeah i have im on it looking for specific dates i will just keep checking daily for a fare drop,95
6766,neutral,hello good afternoon how are you i need know how much flying for summer from june th,84
6767,negative,just wondering if the website is having issues today trying to book a flight with my visa i always use and its rejecting it,123
6768,negative,upset with the lack of communication weve received for our on time flight out of mco,84
6769,neutral,not for the dates or destination im headed,42
6770,negative,ive spent three hours talking to all different people most of which couldnt help i probably wont be using jetblue again,119
6771,positive,great,5
6772,positive,thanks great recap i wouldnt have been able to sleep i was nervous the bad guy was getting away,95
6773,neutral,flying w infant for the st time can i bring a canister of powder formula for a carry on andor use my plastic formula divider,124
6774,positive,flight proud to fly jet blue,28
6775,positive,awesome thanks on hold now,26
6776,neutral,im not sure if you can do anything to help me with that but if you can thatd be great,85
6777,negative,i had to call back five times to get someone on the phone who knew what they were doing by that time my getaway went up by,122
6778,negative,are there really no flights from the bay area to chicago anymore lame so lame,77
6779,negative,cant book a flight because of outdated forced optin verified by visa nonsense help a girl out i just want to get to,115
6780,neutral,stop trying to make fleek happen pointsme,41
6781,negative,luggage fees wont b flying jb again at least aa gives platinum pass bags tired of overchging bg herded like cattleslaughter,123
6782,positive,what are the chances of actually flying out of charleston today cold rainy weather in the south of all places,109
6783,positive,i did see that working on picking up a trip or two as we type,61
6784,negative,its poop and barely works,25
6785,positive,thanks for the quick reply just wanted to make sure it wasnt just my account,76
6786,negative,your wifi is a lie and i hate you,33
6787,negative,is there an issue with your website and logging on app too i know i am entering info correctly but cannot sign in,113
6788,negative,having trouble signing in to trueblue today despite right credentials getting we are not able to sign you in msg,112
6789,positive,wouldnt mind paying for the snacks but no for tix great job guys,64
6790,neutral,flight to boston delayed due to weather in tampa,48
6791,neutral,more like baejet airways amirite right back at ya,49
6792,neutral,are amex plat holders provided access or a credit in the airspace lounge in jkf,79
6793,neutral,many thanks as always your employees are professional and courteous whenever i have the option you are my goto airlines,119
6794,neutral,come on and provide service from destin fort walton beach airport,65
6795,negative,i appreciate the credit for my troubles but the lack of personal response troubles me,85
6796,neutral,youll enjoy this our fleets on fleek,36
6797,neutral,yer deals never seem to include nycpdx or nycpghwish they did,61
6798,neutral,airline trouble this winter not getting good customer service contact we negotiate resolutions for you,102
6799,neutral,thank you headed from lbc to oak,32
6800,positive,here you go your napkins pretty much say it all,47
6801,neutral,our fleets on fleek i just,26
6802,positive,why not wed sure love to see you ruth justdoit youknowyouwantto you know me too well,84
6803,neutral,do what you love and youll never work a day in your life,56
6804,neutral,it drops when i take off the other two people and vice versa back and forth,75
6805,positive,you dont need to cut services charge more and give a better flying experience thats why i use jet blue in the first place,121
6806,positive,longing to look into the blue eyes firstlove,44
6807,positive,you all are the best flyfi ondemand leatherseats hipunis legroom,64
6808,neutral,sigh our fleets on fleek,24
6809,neutral,please start flying to guyana soon,34
6810,neutral,just leave certain things to the kids,37
6811,positive,wowthx for thinking of us greg heard sobewff was amazing weve heard the same about ps thx for the info teamnkh,110
6812,positive,annnndddd i just booked my flight that was easy,47
6813,negative,thank you for credits however i submitted complaints about the property on vacation package hope you listen,107
6814,neutral,our fleets on fleek,19
6815,positive,thank you very much,19
6816,negative,need your help im moving to dc i want to book a one way fare on your website it wont seem to let me am i missing something,122
6817,positive,it will be glowing your crew and your aircraft sparkled you guys know about right might be a good partnership,109
6818,neutral,my friend bought a ticket last night for one of these routes from you and it cost way more can you help,103
6819,neutral,i was returning from sobewff so i had limited carry on space in my tummy next flight ill try that snack,103
6820,positive,glad you like it feel free to steal it,38
6821,positive,your blue helped bring out the color of my eyes and i promise i didnt eat all the free snacks,93
6822,positive,thanks to you customers like me stay loyal from check in to landing,67
6823,positive,a pulling into the gate as the sunrises here at this morning jetbluesofly jetblue airbus,88
6824,positive,thx for the quick response yep i tried but it cant find the flight when i input the confirmation,96
6825,positive,wish everyone felt like you,27
6826,positive,sounds great thank you,22
6827,negative,s once upon a sale that does not include btv as usual jetbluehatesbtv,69
